124,Final,2006,1481,5.52
125,32nd,1993,1688,9.52
126,16th,1994,1124,7.6
127,32nd,1996,1832,1.79
128,SemiFinal,1996,1456,8.69
129,32nd,2004,1377,5.97
130,16th,2003,920,2.66
131,32nd,2012,1706,6.48
132,Final,1986,1863,9.67
133,32nd,2007,1466,4.63
134,32nd,2007,1787,8.65
135,16th,1994,604,10.17
136,32nd,1990,373,4.74
137,16th,2000,172,2.23
138,32nd,1995,1925,7.11
139,Final,2014,570,3.35
140,16th,2007,1138,1.62
141,quarter_final,2015,411,10.95
142,32nd,1995,171,10.06
143,SemiFinal,2008,1610,3.97
144,32nd,2000,417,4.86
145,16th,1992,751,1.91
146,Final,2003,1714,9.96
147,SemiFinal,1991,1585,2.57
148,Final,2008,774,1.72
149,16th,1986,1329,8.05
150,Final,2011,1822,2.34
151,32nd,1993,76,2.17
152,16th,2007,903,2.15
153,16th,1989,2022,3.44
154,Final,1992,267,6.99
155,32nd,2002,824,3.14
156,16th,1997,1235,5.26
157,32nd,1993,132,3.36
158,32nd,2005,1595,9.83
159,SemiFinal,1994,373,10.91
160,16th,1991,416,8.9
161,Final,1997,404,3.98
162,quarter_final,1997,309,10.66
163,SemiFinal,1986,128,8.54
164,Final,1991,1650,3.9
165,16th,1993,1145,9.65
166,32nd,1992,818,1.16
167,Final,2012,511,10.63
168,SemiFinal,1994,863,8.15
169,Final,2005,1709,8.37
170,16th,2013,2041,3.73
171,Final,1990,832,6.9
172,Final,2001,1522,4.92
173,quarter_final,1988,1695,3.53
174,Final,2012,1459,8.46
175,quarter_final,2014,1754,8.05
176,Final,1986,1641,2.06
177,quarter_final,2000,63,8.42
178,quarter_final,2008,905,6.83
179,SemiFinal,1989,208,6.13
180,Final,1998,1048,9.41
181,Final,2004,1611,7.56
182,16th,2005,273,1.71
183,quarter_final,2006,879,3.24
184,32nd,1995,307,4.5
185,16th,1993,972,2.83
186,Final,1997,404,10.13
187,16th,2002,981,5.93
188,quarter_final,2012,819,2.26
189,Final,1991,597,2.96
190,SemiFinal,1993,995,1.03
191,32nd,2005,700,8.56
192,quarter_final,1991,127,6.06
193,16th,2001,1262,5.08
194,Final,2006,991,3.62
195,Final,2010,54,10.92
196,Final,2000,298,1.08
197,quarter_final,1991,1724,5.32
198,32nd,1986,428,2.9
199,quarter_final,2008,1735,8.83
200,Final,2012,953,2.21
201,SemiFinal,1998,1929,4.32
202,SemiFinal,2009,1760,7.21
203,32nd,2001,747,10.79
204,32nd,1999,334,5.06
205,SemiFinal,2003,1254,5.86
206,SemiFinal,2009,150,2.15
207,32nd,1992,254,2.8
208,32nd,2011,786,7.28
209,Final,2010,456,5.91
210,SemiFinal,2009,1505,5.53
211,32nd,1991,627,2.93
212,16th,2000,404,8.34
213,quarter_final,2012,923,10.15
214,32nd,2002,1597,9.76
215,SemiFinal,1998,1317,1.53
216,32nd,2005,172,5.01
217,SemiFinal,1992,1523,10.13
218,16th,1987,1185,5.84
219,16th,2014,743,5.78
220,quarter_final,2008,935,1.98
221,32nd,2007,1607,10.68
222,SemiFinal,1998,354,7.63
223,Final,1999,1468,7.26
224,16th,1988,1090,2.64
225,32nd,1988,1873,6.22
226,Final,2001,1230,8.29
227,Final,1991,1970,6.65
228,32nd,2006,1199,1.82
229,SemiFinal,1998,642,9.91
230,16th,2000,514,4.83
231,SemiFinal,2008,65,1.44
232,Final,2008,100,1.8
233,Final,2012,1679,8.68
234,16th,2007,1834,8.58
235,32nd,1997,973,7.73
236,32nd,2010,1655,2.58
237,Final,2013,1929,7.78
238,Final,1992,2026,5.73
239,16th,2001,1966,5.78
240,quarter_final,1990,93,10.76
241,32nd,1987,1022,8.35
242,16th,2008,485,3.44
243,SemiFinal,1988,1861,5.59
244,16th,1995,76,7.79
245,SemiFinal,2010,499,8.93
246,32nd,1992,1281,9.67
247,16th,1996,111,10.13
248,Final,1992,1880,7.49
249,16th,2004,743,5.55
250,32nd,1988,650,3.98
251,32nd,1988,1122,10.51
252,quarter_final,1991,1342,2.38
253,quarter_final,1995,1188,3.14
254,SemiFinal,2014,1006,6.72
255,SemiFinal,1991,1972,4.52
256,32nd,2001,1561,3.5
257,quarter_final,1997,652,8.24
258,quarter_final,2010,2010,5.65
259,SemiFinal,1987,1667,5.28
260,16th,2015,359,10.21
261,quarter_final,2000,1571,10.33
262,32nd,2015,817,9.38
263,SemiFinal,2003,1079,10.36
264,16th,2008,216,8.65
265,quarter_final,1993,2011,9.72
266,Final,1998,1144,10.13
267,Final,2003,383,6.39
268,Final,2002,1486,5.38
269,Final,2004,861,4.3
270,32nd,2006,1375,5.58
271,16th,1992,286,2.45
272,quarter_final,1989,130,5.81
273,32nd,2002,1551,2.21
274,Final,2014,1393,5.53
275,SemiFinal,1998,1557,8.9
276,SemiFinal,1997,1915,3.61
277,SemiFinal,1987,1460,7.37
278,Final,1994,91,5.42
279,Final,2012,2010,1.85
280,SemiFinal,1995,550,2.89
281,Final,2006,232,10.9
282,quarter_final,1990,718,7.49
283,Final,2011,1021,4.66
284,16th,2002,682,1.36
285,quarter_final,1995,1516,9.62
286,32nd,1990,1794,2.1
287,quarter_final,2000,811,6.09
288,16th,1997,2025,10.53
289,quarter_final,2009,1745,4.61
290,Final,2000,439,3.03
291,16th,1988,1225,3.35
292,SemiFinal,1988,190,5.36
293,16th,1989,375,8.83
294,SemiFinal,1999,1895,3.33
295,SemiFinal,2009,2026,3.4
296,quarter_final,2006,1498,7.42
297,quarter_final,1990,1202,1.84
298,32nd,1987,168,3.52
299,SemiFinal,1989,1742,10.8
300,32nd,2007,1001,1.65
301,SemiFinal,1994,2037,5.35
302,SemiFinal,1988,1745,3.09
303,quarter_final,2008,274,10.85
304,quarter_final,1994,1233,1.86
305,SemiFinal,1999,151,8.11
306,quarter_final,2005,599,7.62
307,Final,2008,1376,3.46
308,quarter_final,2014,761,8.13
309,32nd,1999,123,3.7
310,quarter_final,1990,372,4.01
311,SemiFinal,2009,116,1.22
312,SemiFinal,1991,557,10.98
313,16th,2012,1366,6.72
314,16th,1998,2033,7.58
315,32nd,1992,1458,5.41
316,SemiFinal,1987,326,4.04
317,Final,2014,778,1.69
318,16th,2010,230,1.35
319,SemiFinal,2010,1560,6.43
320,32nd,1995,86,2.15
321,quarter_final,1994,1044,9.84
322,quarter_final,2001,320,7.29
323,32nd,1993,1428,3.64
324,16th,2004,1754,7.87
325,Final,2007,1194,9.93
326,Final,1998,792,5.85
327,32nd,2010,1592,2.79
328,quarter_final,2008,711,10.27
329,Final,1999,124,4.54
330,32nd,2008,1970,10.94
331,quarter_final,1988,767,7.23
332,quarter_final,2012,226,10.6
333,16th,2008,728,2.21
334,SemiFinal,1990,578,3.04
335,Final,2010,428,1.84
336,32nd,1998,785,2.49
337,16th,1990,57,8.74
338,quarter_final,2003,1503,6.65
339,SemiFinal,1991,1710,2.2
340,Final,2015,1572,5.89
341,SemiFinal,1998,1741,9.02
342,16th,1997,477,8.32
343,16th,1994,579,9.05
344,quarter_final,2014,368,1.91
345,SemiFinal,1987,1553,2.07
346,Final,1998,429,1.08
347,16th,2000,1480,2.13
348,quarter_final,2006,1661,3.83
349,16th,2010,876,6.51
350,16th,2002,195,6.05
351,SemiFinal,2007,1583,4.55
352,quarter_final,2002,1347,8.66
353,16th,1991,1500,4.51
354,32nd,2012,1223,10.64
355,Final,2011,982,6.9
356,SemiFinal,2005,1943,1.25
357,32nd,2007,1786,10.55
358,SemiFinal,1993,755,3.95
359,quarter_final,2014,1323,8.3
360,SemiFinal,1995,1318,9.36
361,32nd,1994,1692,7.27
362,32nd,2011,155,8.34
363,Final,2007,1717,4.73
364,SemiFinal,1993,1317,5.98
365,SemiFinal,1996,832,7.03
366,SemiFinal,2003,1027,10.26
367,quarter_final,1992,493,5.43
368,SemiFinal,2010,1324,8.89
369,Final,1990,743,10.78
370,SemiFinal,1986,1824,5.3
371,16th,2006,2009,3.79
372,Final,1992,1146,6.25
373,Final,1990,199,9.53
374,Final,1994,1584,7.87
375,Final,1998,1390,8.7
376,SemiFinal,1993,1575,6.51
377,Final,2004,1837,9.53
378,SemiFinal,2012,1196,7.36
379,quarter_final,2009,570,5.16
380,16th,2013,1554,9.38
381,SemiFinal,1986,1236,3.73
382,16th,1992,1558,7.09
383,Final,1992,1300,4.24
384,quarter_final,2004,641,6.27
385,SemiFinal,2015,1029,7.67
386,SemiFinal,1993,659,6.57
387,Final,1988,169,10.27
388,Final,1999,971,3.21
389,16th,2011,409,1.19
390,SemiFinal,1994,251,3.53
391,quarter_final,2001,1444,4.41
392,SemiFinal,2008,1028,6.33
393,SemiFinal,2009,298,1.64
394,16th,2000,1274,5.31
395,32nd,1995,1608,5.58
396,SemiFinal,1990,1659,9.72
397,32nd,1994,1177,1.89
398,16th,1997,1384,7.14
399,SemiFinal,2013,915,9.72
400,SemiFinal,2006,926,1.67
401,16th,2011,579,6.15
402,quarter_final,2008,798,10.54
403,16th,1990,347,3.76
404,32nd,1989,109,4.18
405,32nd,1994,1086,10.09
406,32nd,1990,1504,7.11
407,quarter_final,2004,1696,10.3
408,32nd,2003,157,4.74
409,quarter_final,1995,318,7.97
410,32nd,2010,154,1.88
411,16th,2011,1629,7.04
412,SemiFinal,2011,1854,4.55
413,quarter_final,1986,1444,3.38
414,SemiFinal,1993,67,8.79
415,Final,2009,618,7.24
416,quarter_final,2007,464,2.48
417,16th,2011,1148,9.37
418,quarter_final,1997,1330,8.05
419,quarter_final,2015,1791,3.06
420,Final,1994,105,10.16
421,32nd,1997,1876,10.11
422,16th,1991,1848,10.53
423,SemiFinal,1986,163,5.85
424,16th,2010,464,6.96
425,16th,2004,1260,6.21
426,32nd,2000,1403,2.09
427,SemiFinal,1998,396,5.87
428,SemiFinal,2001,1130,6.3
429,quarter_final,2013,1398,7.72
430,32nd,1994,1483,1.29
431,quarter_final,1991,466,5.76
432,16th,1987,1325,7.6
433,quarter_final,2001,224,2.17
434,Final,2013,741,5.25
435,quarter_final,1993,1380,10.08
436,16th,2013,388,2.48
437,Final,2007,1553,5.71
438,16th,1986,738,10.22
439,32nd,1992,1315,6.09
440,Final,1996,606,4.02
441,32nd,2009,1876,3.89
442,32nd,1992,1839,4.38
443,16th,2012,875,5.05
444,16th,1997,902,3.8
445,SemiFinal,2004,1271,1.85
446,SemiFinal,2003,1399,5.94
447,Final,2004,1509,1.64
448,Final,1993,626,3.59
449,32nd,1997,1628,9.2
450,32nd,2007,358,8.25
451,16th,1990,1488,4.64
452,quarter_final,2004,1942,9.15
453,16th,1994,1900,1.12
454,Final,1992,1336,3.61
455,Final,1999,441,4.03
456,Final,1997,865,10.96
457,16th,1989,257,5.66
458,SemiFinal,1990,94,8.27
459,SemiFinal,1991,1071,5.92
460,Final,2009,623,10.11
461,SemiFinal,1990,398,10.17
462,32nd,1986,472,7.77
463,SemiFinal,1991,298,7.42
464,SemiFinal,1993,1799,6.64
465,Final,1987,1231,3.95
466,SemiFinal,2009,71,6.69
467,quarter_final,2009,1519,5.5
468,SemiFinal,2004,1290,7.89
469,32nd,1996,1099,6.23
470,quarter_final,2005,1521,3.53
471,32nd,2012,1482,8.07
472,quarter_final,2003,126,4.22
473,quarter_final,2007,55,10.55
474,32nd,2014,349,3.48
475,SemiFinal,2013,224,8.91
476,Final,2013,1287,7.59
477,SemiFinal,2005,1153,5.34
478,16th,1999,1667,6.43
479,SemiFinal,2009,1699,5.44
480,Final,1996,1705,9.75
481,32nd,1990,572,4.31
482,32nd,2014,1315,3.87
483,32nd,1987,904,5.61
484,32nd,2000,1043,10.06
485,32nd,2002,766,10.25
486,quarter_final,2010,1519,5.55
487,32nd,1986,994,2.52
488,quarter_final,2005,1398,2.98
489,16th,2010,107,9.39
490,32nd,2011,1809,4.79
491,16th,1988,1658,9.26
492,SemiFinal,1991,281,5.14
493,Final,2010,556,5.21
494,16th,2000,2021,6.04
495,quarter_final,1987,1955,1.63
496,SemiFinal,2003,771,8.22
497,SemiFinal,2002,665,3.06
498,32nd,1988,1835,8.36
499,SemiFinal,2006,1139,3.71
500,Final,1990,478,4.98
501,SemiFinal,2010,395,7.21
502,SemiFinal,2004,1744,8.89
503,quarter_final,2002,1072,6.88
504,16th,2010,1419,4.19
505,SemiFinal,1997,733,7.19
506,32nd,2011,1303,8.76
507,Final,2007,180,4.96
508,32nd,1992,942,9.61
509,SemiFinal,1995,1689,4.2
510,SemiFinal,2002,1189,5.81
511,Final,1999,521,10.38
512,32nd,1986,341,7.63
513,32nd,2000,508,6.03
514,Final,1992,617,2.58
515,16th,1992,1914,3.18
516,32nd,2002,265,9.21
517,SemiFinal,2014,1822,8.84
518,SemiFinal,1990,397,8.45
519,quarter_final,2012,2010,3.89
520,32nd,2007,496,2.46
521,32nd,1989,1526,7.16
522,32nd,2000,897,1.12
523,quarter_final,2013,1978,1.12
524,SemiFinal,1999,302,9.0
525,Final,2013,540,7.45
526,32nd,1992,707,7.84
527,SemiFinal,1987,243,1.64
528,SemiFinal,1987,1520,5.02
529,Final,1995,1575,8.84
530,quarter_final,1992,1338,7.91
531,quarter_final,2008,463,4.34
532,quarter_final,2013,1037,7.41
533,SemiFinal,2007,1806,3.39
534,32nd,2012,788,3.39
535,quarter_final,1994,338,4.16
536,quarter_final,2015,346,1.63
537,16th,1986,621,6.78
538,16th,2005,495,1.83
539,Final,2000,1713,1.59
540,16th,1989,103,2.15
541,16th,2002,1607,3.75
542,32nd,2015,1429,10.82
543,32nd,2010,276,2.97
544,Final,2010,403,3.36
545,32nd,1987,379,5.52
546,SemiFinal,2006,1557,3.03
547,quarter_final,1988,1251,3.84
548,32nd,2012,1256,8.67
549,32nd,2000,488,4.42
550,Final,1994,1490,2.15
551,32nd,1986,1463,7.19
552,Final,1994,741,2.15
553,16th,1993,1072,8.31
554,16th,1996,372,3.39
555,quarter_final,1999,540,2.76
556,SemiFinal,1986,545,2.74
557,Final,1991,1854,9.77
558,quarter_final,2011,829,10.19
559,quarter_final,1992,108,9.11
560,32nd,2003,1732,9.24
561,16th,1999,80,8.08
562,32nd,1989,1568,10.1
563,Final,2013,940,6.11
564,Final,2003,987,8.55
565,SemiFinal,2002,1474,10.58
566,quarter_final,1998,260,4.33
567,quarter_final,1986,1505,4.6
568,32nd,1989,1933,6.03
569,16th,2000,1571,8.16
570,Final,1992,1935,8.29
571,SemiFinal,2009,205,2.01
572,32nd,1990,2032,6.7
573,Final,2009,581,2.22
574,16th,2001,1969,1.12
575,Final,1993,445,7.15
576,16th,1997,1161,1.83
577,SemiFinal,2012,293,7.08
578,16th,1994,795,10.54
579,16th,1996,598,3.12
580,32nd,1991,529,3.89
581,Final,1986,1464,2.32
582,32nd,1997,792,2.94
583,quarter_final,2012,916,7.51
584,32nd,1995,1500,1.36
585,16th,2004,1813,7.55
586,SemiFinal,1992,1538,7.55
587,quarter_final,2001,87,1.81
588,16th,1996,64,9.77
589,32nd,1996,1797,4.42
590,32nd,1989,105,2.28
591,32nd,1987,1727,10.1
592,32nd,2004,894,9.94
593,SemiFinal,1989,72,1.21
594,16th,2012,1623,4.38
595,quarter_final,1989,1424,2.21
596,16th,2003,1244,5.24
597,Final,1992,1911,5.27
598,Final,1986,72,5.09
599,Final,1999,939,7.02
600,16th,1990,434,4.58
601,SemiFinal,2001,1770,7.9
602,16th,2005,1698,10.2
603,32nd,2000,352,10.54
604,SemiFinal,2006,1475,6.44
605,SemiFinal,1989,972,4.23
606,16th,1999,1277,5.46
607,32nd,1989,324,2.01
608,Final,1998,374,2.25
609,SemiFinal,2004,565,8.87
610,16th,1994,271,5.85
611,32nd,2000,1168,3.47
612,16th,2002,1540,7.56
613,quarter_final,2011,1751,3.38
614,quarter_final,2015,238,10.86
615,32nd,2006,161,2.61
616,SemiFinal,2001,1470,8.72
617,32nd,2001,1397,8.23
618,16th,2014,954,9.81
619,quarter_final,2012,1666,7.47
620,quarter_final,2015,206,7.24
621,quarter_final,2014,635,3.97
622,quarter_final,1991,1753,1.72
623,32nd,1986,1532,3.42
624,16th,2005,1838,8.54
625,SemiFinal,1994,1460,1.17
626,Final,1991,119,9.94
627,16th,2004,1282,3.29
628,16th,1995,1010,2.85
629,quarter_final,1990,184,2.73
630,Final,2014,1496,9.38
631,quarter_final,1992,1330,4.01
632,quarter_final,1996,1952,2.31
633,SemiFinal,1994,1538,7.73
634,quarter_final,2005,1481,5.41
635,32nd,1995,809,4.81
636,16th,2007,1378,10.76
637,Final,1994,1892,3.75
638,32nd,2006,1842,4.82
639,32nd,2010,1419,7.29
640,16th,1998,401,4.94
641,32nd,1997,638,3.48
642,quarter_final,2011,831,3.82
643,SemiFinal,2014,1646,1.34
644,16th,2007,403,4.58
645,SemiFinal,2000,843,7.46
646,quarter_final,2011,709,1.85
647,32nd,2008,1048,4.66
648,quarter_final,1996,1463,10.32
649,quarter_final,2001,202,2.79
650,SemiFinal,2002,411,10.15
651,Final,2005,1446,6.63
652,16th,2007,120,2.21
653,16th,1998,1549,7.32
654,SemiFinal,1994,1473,8.12
655,quarter_final,1989,541,9.19
656,Final,2003,342,9.75
657,16th,2010,1229,1.68
658,Final,1993,1575,6.67
659,32nd,2013,782,4.05
660,Final,1989,1041,5.98
661,Final,2006,878,10.89
662,32nd,1992,2006,4.77
663,quarter_final,2005,695,5.06
664,SemiFinal,2007,1442,8.53
665,32nd,1994,1236,4.82
666,32nd,1995,162,8.58
667,32nd,2012,274,7.61
668,SemiFinal,2009,833,10.59
669,32nd,1993,654,4.5
670,Final,1993,1894,6.1
671,SemiFinal,1995,251,3.46
672,32nd,2013,1639,7.47
673,SemiFinal,2015,1296,4.0
674,32nd,2006,1319,8.95
675,32nd,1989,1379,10.2
676,32nd,1989,51,7.54
677,SemiFinal,1999,105,9.05
678,32nd,2001,1932,9.79
679,16th,2003,1737,6.1
680,16th,1986,1961,5.72
681,16th,2010,1030,3.44
682,16th,2008,639,3.08
683,32nd,1991,1400,10.74
684,16th,2011,1592,4.27
685,32nd,1999,341,1.95
686,SemiFinal,1986,1909,1.57
687,quarter_final,2011,1165,4.38
688,32nd,1991,1297,10.54
689,SemiFinal,1999,1933,8.08
690,32nd,1996,1561,10.4
691,32nd,1992,597,5.0
692,32nd,1997,1212,10.41
693,32nd,1999,543,5.05
694,quarter_final,2008,1049,8.53
695,16th,1994,1943,2.81
696,16th,1998,1971,2.87
697,32nd,2001,540,1.56
698,SemiFinal,2007,254,5.44
699,16th,2013,1735,1.5
700,SemiFinal,2009,523,8.29
701,Final,1987,1522,10.13
702,32nd,1990,964,1.58
703,16th,2002,1576,7.68
704,16th,2005,1887,5.14
705,Final,1986,738,8.68
706,quarter_final,2013,313,3.62
707,32nd,1987,223,8.23
708,32nd,1986,1678,2.63
709,quarter_final,2014,1706,5.45
710,32nd,2007,738,8.65
711,16th,1992,1244,2.4
712,16th,1999,366,5.1
713,32nd,1991,272,10.94
714,Final,2005,168,6.27
715,Final,2002,1035,4.52
716,SemiFinal,2012,82,3.3
717,16th,2006,119,6.47
718,SemiFinal,1997,1477,10.98
719,quarter_final,2010,329,2.83
720,32nd,1987,758,6.41
721,SemiFinal,1992,1943,2.83
722,32nd,2002,1363,10.59
723,16th,2005,194,2.35
724,Final,2002,1349,2.91
725,SemiFinal,2008,446,10.21
726,Final,1986,1520,10.35
727,SemiFinal,1993,1187,7.32
728,quarter_final,1987,1179,1.73
729,SemiFinal,1988,1674,3.75
730,quarter_final,2007,1311,2.44
731,Final,1990,986,5.02
732,32nd,2007,1979,6.79
733,16th,1988,726,1.35
734,quarter_final,2005,1273,9.61
735,32nd,1994,912,2.44
736,SemiFinal,1991,612,1.15
737,16th,1996,1101,4.57
738,32nd,2007,60,10.84
739,quarter_final,1990,1960,2.47
740,quarter_final,2014,362,8.57
741,32nd,2010,1335,7.92
742,Final,1995,707,2.58
743,32nd,2008,975,7.64
744,32nd,1988,329,9.51
745,32nd,2000,1867,1.3
746,32nd,2015,950,2.91
747,Final,2003,897,8.99
748,16th,2008,485,6.87
749,16th,2007,290,6.07
750,16th,1987,603,7.55
751,Final,2014,1659,1.91
752,16th,2004,1394,2.42
753,SemiFinal,2011,1686,3.77
754,SemiFinal,1991,1464,6.54
755,32nd,1990,549,7.41
756,SemiFinal,1990,1480,1.21
757,16th,2014,84,6.21
758,32nd,2005,2028,3.7
759,Final,2014,947,3.83
760,SemiFinal,2015,787,10.69
761,32nd,1989,839,3.01
762,quarter_final,1993,1636,8.85
763,32nd,2013,1301,2.08
764,32nd,1993,1215,7.73
765,32nd,1994,81,10.27
766,Final,2008,117,1.36
767,16th,1990,177,5.64
768,quarter_final,2006,1159,8.39
769,Final,1998,655,10.71
770,32nd,2009,929,3.14
771,32nd,2004,1147,2.64
772,quarter_final,2008,786,2.88
773,SemiFinal,2011,1677,2.64
774,Final,1987,342,4.33
775,32nd,2012,1359,9.29
776,SemiFinal,2012,365,4.71
777,16th,2012,57,5.25
778,Final,1999,333,4.75
779,quarter_final,1996,1954,10.93
780,quarter_final,2015,1839,3.63
781,Final,2011,75,3.36
782,quarter_final,1992,898,2.73
783,16th,2006,859,10.88
784,16th,1986,840,1.81
785,quarter_final,2012,722,5.0
786,Final,1997,1893,1.56
787,32nd,2009,485,3.05
788,32nd,2012,591,4.66
789,SemiFinal,2014,465,9.64
790,Final,2005,1626,10.23
791,Final,2010,2031,1.16
792,SemiFinal,2004,1674,8.86
793,quarter_final,2002,1612,7.64
794,Final,2002,1267,4.65
795,16th,2002,1618,10.48
796,16th,2002,429,1.47
797,Final,1996,1068,2.35
798,32nd,1988,682,7.96
799,SemiFinal,2006,1843,8.6
800,SemiFinal,2014,1832,7.67
801,Final,1987,855,7.28
802,Final,2003,1654,5.04
803,SemiFinal,1997,2023,5.94
804,Final,2011,571,8.33
805,SemiFinal,2001,419,10.77
806,SemiFinal,2014,1567,9.79
807,SemiFinal,2004,282,2.14
808,SemiFinal,1991,615,5.38
809,Final,2011,2016,5.92
810,quarter_final,2011,1743,5.74
811,quarter_final,1987,2038,8.41
812,quarter_final,2015,505,4.59
813,SemiFinal,2012,2016,2.87
814,16th,1994,1935,8.57
815,quarter_final,2005,312,6.1
816,SemiFinal,2000,539,7.1
817,16th,1992,219,6.28
818,16th,1999,1259,8.13
819,SemiFinal,1994,1542,8.87
820,SemiFinal,2001,341,1.85
821,quarter_final,1991,1088,1.76
822,16th,1995,416,9.51
823,Final,1994,860,8.81
824,16th,2005,1594,8.28
825,Final,1987,1562,1.67
826,quarter_final,1989,1043,2.12
827,32nd,1992,1884,6.38
828,32nd,2009,1397,8.5
829,16th,2000,865,5.12
830,16th,2013,399,7.2
831,16th,1997,1409,5.91
832,Final,1998,1189,3.56
833,16th,1995,1882,2.44
834,32nd,1986,1306,6.53
835,16th,2001,720,7.96
836,quarter_final,2013,788,9.59
837,32nd,2002,922,2.39
838,quarter_final,1999,1951,7.4
839,16th,1992,1088,9.17
840,32nd,2014,744,2.54
841,Final,2005,971,10.99
842,SemiFinal,1992,1895,8.33
843,Final,2012,692,10.85
844,32nd,1992,835,2.12
845,SemiFinal,1990,196,2.38
846,Final,2013,1215,9.31
847,SemiFinal,2003,76,9.62
848,32nd,2003,1501,3.95
849,16th,2003,346,8.42
850,SemiFinal,2004,479,1.23
851,SemiFinal,2002,447,2.71
852,SemiFinal,1991,648,5.67
853,32nd,1995,1772,8.94
854,SemiFinal,2010,1089,6.62
855,32nd,1996,1452,5.22
856,quarter_final,1998,344,2.43
857,Final,2015,473,2.51
858,quarter_final,2010,1314,8.38
859,quarter_final,2003,1934,4.64
860,16th,2003,1453,3.01
861,Final,2000,1787,10.45
862,SemiFinal,1997,1371,10.32
863,32nd,2015,1302,6.98
864,16th,2012,516,10.02
865,16th,1987,297,3.51
866,SemiFinal,2003,567,3.38
